,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Banda Aceh,59,ID,1575039776,88,5.56,95.32,76.08,4.65
1,Slatina,40,HR,1575039777,81,45.7,17.7,57.0,3.36
2,Yellowknife,75,CA,1575039778,85,62.45,-114.38,15.01,5.82
3,Mataura,37,NZ,1575039779,89,-46.19,168.86,46.99,1.45
4,Kodiak,90,US,1575039780,100,39.95,-94.76,36.0,8.05
5,Hithadhoo,100,MV,1575039781,94,-0.6,73.08,76.64,17.25
6,Provideniya,100,RU,1575039783,95,64.42,-173.23,17.94,12.35
7,Torbay,90,CA,1575039784,100,47.66,-52.73,37.0,25.28
8,Lagoa,75,PT,1575039785,88,37.14,-8.45,66.99,5.82
9,Kupang,40,ID,1575039786,78,-10.16,123.6,82.4,5.82
10,Bonavista,100,CA,1575039787,85,48.65,-53.11,35.01,21.99
11,Saskylakh,100,RU,1575039789,97,71.97,114.09,-19.86,11.59
12,Terrace,5,CA,1575039778,73,54.52,-128.61,19.4,16.11
13,Ushuaia,75,AR,1575039770,66,-54.81,-68.31,46.4,20.8
14,Hobart,90,AU,1575039792,87,-42.88,147.33,48.2,6.93
15,Khor,0,RU,1575039794,71,47.88,134.96,8.98,12.84
16,Cidreira,0,BR,1575039795,69,-30.17,-50.22,69.44,25.64
17,Castro,75,CL,1575039796,81,-42.48,-73.76,51.8,10.29
18,Saint-Philippe,90,CA,1575039797,86,45.36,-73.48,30.2,4.7
19,Muroto,0,JP,1575039798,78,33.37,134.14,39.78,6.29
20,Port Lincoln,0,AU,1575039800,76,-34.72,135.86,52.74,7.99
21,Arraial do Cabo,40,BR,1575039801,66,-22.97,-42.02,84.2,9.17
22,Campbell River,20,CA,1575039615,85,50.02,-125.24,25.0,2.24
23,Umm Lajj,0,SA,1575039803,53,25.02,37.27,72.84,4.14
24,Rikitea,38,PF,1575039804,80,-23.12,-134.97,76.89,5.93
25,Sur,17,OM,1575039805,46,22.57,59.53,72.7,11.97
26,Nikolskoye,90,RU,1575039807,97,59.7,30.79,34.0,11.18
27,Saldanha,61,PT,1575039808,74,41.42,-6.55,56.37,5.17
28,Tasiilaq,75,GL,1575039809,79,65.61,-37.64,24.8,8.05
29,Port Elizabeth,1,US,1575039810,51,39.31,-74.98,39.99,10.29
30,Chuy,0,UY,1575039811,44,-33.69,-53.46,75.51,9.95
31,Upata,84,VE,1575039812,59,8.02,-62.41,85.14,3.18
